"","Ingredient","Parameter","As.fed","Unit"
"260","corn-gluten-feed","Mineral_percentage",4.10394,"%"
"261","corn-gluten-feed","Phosp_percentage",1.42,"%"
"262","corn-gluten-meal","Dry matter",90.9,"%"
"263","corn-gluten-meal","Crude protein",61.6,"%"
"264","corn-gluten-meal","Crude fibre",1.4,"%"
"265","corn-gluten-meal","Crude fat",6,"%"
"266","corn-gluten-meal","Ash",1.8,"%"
"267","corn-gluten-meal","Starch",15.5,"%"
"268","corn-gluten-meal","Total sugars",0.4,"%"
"269","corn-gluten-meal","Mineral_percentage",1.6317,"%"
"270","corn-gluten-meal","Phosp_percentage",0.67,"%"
"271","fish-meal-protein-65","Dry matter",92.1,"%"
"272","fish-meal-protein-65","Crude protein",65.2,"%"
"273","fish-meal-protein-65","Crude fibre",0,"%"
"274","fish-meal-protein-65","Crude fat",9.2,"%"
"275","fish-meal-protein-65","Ash",16.8,"%"
"276","fish-meal-protein-65","Starch",0,"%"
"277","fish-meal-protein-65","Total sugars",0,"%"
"278","fish-meal-protein-65","Mineral_percentage",11.235269,"%"
"279","fish-meal-protein-65","Phosp_percentage",2.64,"%"
"280","fish-meal-protein-70","Dry matter",92.2,"%"
"281","fish-meal-protein-70","Crude protein",69,"%"
"282","fish-meal-protein-70","Crude fibre",0,"%"
"283","fish-meal-protein-70","Crude fat",9.1,"%"
"284","fish-meal-protein-70","Ash",14,"%"
"285","fish-meal-protein-70","Starch",0,"%"
"286","fish-meal-protein-70","Total sugars",0,"%"
"287","fish-meal-protein-70","Mineral_percentage",9.54006,"%"
"288","fish-meal-protein-70","Phosp_percentage",2.29,"%"
"289","fish-oil-anchovy","Dry matter",100,"%"
"290","fish-oil-anchovy","Crude protein",0,"%"
"291","fish-oil-anchovy","Crude fibre",0,"%"
"292","fish-oil-anchovy","Crude fat",100,"%"
"293","fish-oil-anchovy","Ash",0,"%"
"294","fish-oil-anchovy","Starch",0,"%"
"295","fish-oil-anchovy","Total sugars",0,"%"
"296","fish-oil-anchovy","Mineral_percentage",0,"%"
"297","fish-oil-anchovy","Phosp_percentage",0,"%"
"298","fish-oil-menhaden","Dry matter",100,"%"
"299","fish-oil-menhaden","Crude protein",0,"%"
"300","fish-oil-menhaden","Crude fibre",0,"%"
"301","fish-oil-menhaden","Crude fat",100,"%"
"302","fish-oil-menhaden","Ash",0,"%"
"303","fish-oil-menhaden","Starch",0,"%"
"304","fish-oil-menhaden","Total sugars",0,"%"
"305","fish-oil-menhaden","Mineral_percentage",0,"%"
"306","fish-oil-menhaden","Phosp_percentage",0,"%"
"307","fish-oil-herring","Dry matter",100,"%"
"308","fish-oil-herring","Crude protein",0,"%"
"309","fish-oil-herring","Crude fibre",0,"%"
"310","fish-oil-herring","Crude fat",100,"%"
"311","fish-oil-herring","Ash",0,"%"
