,Lon,Lat,Depth
59955518,-5.34375,56.0229166666667,-18.8059997558594
59955519,-5.33958333333334,56.0229166666667,-23.5300006866455
59955520,-5.33541666666667,56.0229166666667,-33.9140014648438
59955521,-5.33125000000001,56.0229166666667,-48.2910003662109
59955522,-5.32708333333335,56.0229166666667,-55.3790016174316
59955523,-5.32291666666666,56.0229166666667,-50.3330001831055
59955524,-5.31874999999999,56.0229166666667,-41.2470016479492
59955525,-5.31458333333333,56.0229166666667,-35.2690010070801
59955526,-5.31041666666667,56.0229166666667,-32.3810005187988
59955527,-5.30625000000001,56.0229166666667,-5.81199979782104
59965095,-5.43958333333333,56.0270833333333,-4.2350001335144
59965096,-5.43541666666667,56.0270833333333,-3.30999994277954
59965119,-5.33958333333334,56.0270833333333,-15.2550001144409
59965120,-5.33541666666667,56.0270833333333,-21.3229999542236
59965121,-5.33125000000001,56.0270833333333,-31.0949993133545
59965122,-5.32708333333335,56.0270833333333,-39.4339981079102
59965123,-5.32291666666666,56.0270833333333,-39.3120002746582
59965124,-5.31874999999999,56.0270833333333,-38.3769989013672
59965125,-5.31458333333333,56.0270833333333,-44.1430015563965
59965126,-5.31041666666667,56.0270833333333,-50.0260009765625
59965127,-5.30625000000001,56.0270833333333,-29.8999996185303
59974720,-5.33541666666667,56.03125,-5.79500007629395
59974721,-5.33125000000001,56.03125,-13.8199996948242
59974722,-5.32708333333335,56.03125,-28.5839996337891
59974723,-5.32291666666666,56.03125,-37.5229988098145
59974724,-5.31874999999999,56.03125,-39.3559989929199
59974725,-5.31458333333333,56.03125,-46.9379997253418
59974726,-5.31041666666667,56.03125,-51.6160011291504
59974727,-5.30625000000001,56.03125,-39.4609985351562
59974728,-5.30208333333334,56.03125,-11.6309995651245
59984320,-5.33541666666667,56.0354166666667,-5.33599996566772
59984321,-5.33125000000001,56.0354166666667,-12.3999996185303
59984322,-5.32708333333335,56.0354166666667,-29.2999992370605
59984323,-5.32291666666666,56.0354166666667,-42.8580017089844
59984324,-5.31874999999999,56.0354166666667,-44.9420013427734
59984325,-5.31458333333333,56.0354166666667,-48.265998840332
59984326,-5.31041666666667,56.0354166666667,-51.8849983215332
59984327,-5.30625000000001,56.0354166666667,-43.3969993591309
59984328,-5.30208333333334,56.0354166666667,-20.3439998626709
59993920,-5.33541666666667,56.0395833333333,-12.4860000610352
59993921,-5.33125000000001,56.0395833333333,-20.6860008239746
59993922,-5.32708333333335,56.0395833333333,-32.3899993896484
59993923,-5.32291666666666,56.0395833333333,-39.9449996948242
59993924,-5.31874999999999,56.0395833333333,-41.1759986877441
59993925,-5.31458333333333,56.0395833333333,-40.9640007019043
59993926,-5.31041666666667,56.0395833333333,-43.5940017700195
59993927,-5.30625000000001,56.0395833333333,-42.3779983520508
59993928,-5.30208333333334,56.0395833333333,-31.4909992218018
59993929,-5.29791666666668,56.0395833333333,-16.181999206543
60003520,-5.33541666666667,56.04375,-12.8319997787476
60003521,-5.33125000000001,56.04375,-21.4570007324219
60003522,-5.32708333333335,56.04375,-30.5610008239746
60003523,-5.32291666666666,56.04375,-36.3120002746582
60003524,-5.31874999999999,56.04375,-37.6189994812012
60003525,-5.31458333333333,56.04375,-37.4729995727539
60003526,-5.31041666666667,56.04375,-41.9519996643066
60003527,-5.30625000000001,56.04375,-46.3950004577637
60003528,-5.30208333333334,56.04375,-45.7630004882812
60003529,-5.29791666666668,56.04375,-46.6349983215332
60013120,-5.33541666666667,56.0479166666667,-11.6359996795654
60013121,-5.33125000000001,56.0479166666667,-15.7360000610352
60013122,-5.32708333333335,56.0479166666667,-18.375
60013123,-5.32291666666666,56.0479166666667,-23.2450008392334
60013124,-5.31874999999999,56.0479166666667,-29.8920001983643
60013125,-5.31458333333333,56.0479166666667,-34.875
60013126,-5.31041666666667,56.0479166666667,-40.8050003051758
60013127,-5.30625000000001,56.0479166666667,-46.193000793457
60013128,-5.30208333333334,56.0479166666667,-50.1139984130859
60013129,-5.29791666666668,56.0479166666667,-53.9850006103516
60013130,-5.29374999999999,56.0479166666667,-28.6100006103516
60022720,-5.33541666666667,56.0520833333333,-4.00099992752075
60022721,-5.33125000000001,56.0520833333333,-10.1049995422363
60022722,-5.32708333333335,56.0520833333333,-10.1719999313354
60022723,-5.32291666666666,56.0520833333333,-13.5299997329712
60022724,-5.31874999999999,56.0520833333333,-21.3889999389648
60022725,-5.31458333333333,56.0520833333333,-29.0090007781982
60022726,-5.31041666666667,56.0520833333333,-37.560001373291
60022727,-5.30625000000001,56.0520833333333,-43.0859985351562
60022728,-5.30208333333334,56.0520833333333,-44.1360015869141
60022729,-5.29791666666668,56.0520833333333,-44.4160003662109
60022730,-5.29374999999999,56.0520833333333,-42.0530014038086
60022731,-5.28958333333333,56.0520833333333,-21.9029998779297
60032322,-5.32708333333335,56.05625,-3.59800004959106
60032323,-5.32291666666666,56.05625,-10.96399974823
60032324,-5.31874999999999,56.05625,-8.3120002746582
60032325,-5.31458333333333,56.05625,-12.1569995880127
60032326,-5.31041666666667,56.05625,-23.4769992828369
60032327,-5.30625000000001,56.05625,-27.0389995574951
60032328,-5.30208333333334,56.05625,-30.4669990539551
60032329,-5.29791666666668,56.05625,-35.9620018005371
60032330,-5.29374999999999,56.05625,-40.1609992980957
60032331,-5.28958333333333,56.05625,-36.2309989929199
60032332,-5.28541666666666,56.05625,-17.1940002441406
60041922,-5.32708333333335,56.0604166666667,-0.550000011920929
60041928,-5.30208333333334,56.0604166666667,-11.46399974823
60041929,-5.29791666666668,56.0604166666667,-23.871000289917
60041930,-5.29374999999999,56.0604166666667,-35.1529998779297
60041931,-5.28958333333333,56.0604166666667,-46.5769996643066
60041932,-5.28541666666666,56.0604166666667,-43.7200012207031
60041933,-5.28125,56.0604166666667,-24.7409992218018
60051522,-5.32708333333335,56.0645833333333,-4.35200023651123
60051529,-5.29791666666668,56.0645833333333,-9.78600025177002
60051530,-5.29374999999999,56.0645833333333,-33.8779983520508
60051531,-5.28958333333333,56.0645833333333,-50.8359985351562
60051532,-5.28541666666666,56.0645833333333,-56.4679985046387
60051533,-5.28125,56.0645833333333,-46.2109985351562
60051534,-5.27708333333334,56.0645833333333,-34.3160018920898
60051535,-5.27291666666667,56.0645833333333,-8.52400016784668
60061130,-5.29374999999999,56.06875,-22.3409996032715
60061131,-5.28958333333333,56.06875,-46.625
60061132,-5.28541666666666,56.06875,-54.257999420166
60061133,-5.28125,56.06875,-60.7900009155273
60061134,-5.27708333333334,56.06875,-68.0530014038086
60061135,-5.27291666666667,56.06875,-47.2779998779297
60061136,-5.26875000000001,56.06875,-15.2969999313354
60070731,-5.28958333333333,56.0729166666667,-34.5550003051758
60070732,-5.28541666666666,56.0729166666667,-44.0349998474121
60070733,-5.28125,56.0729166666667,-57.3530006408691
60070734,-5.27708333333334,56.0729166666667,-70.3000030517578
60070735,-5.27291666666667,56.0729166666667,-68.1009979248047
60070736,-5.26875000000001,56.0729166666667,-44.7869987487793
60070737,-5.26458333333335,56.0729166666667,-11.5139999389648
60080331,-5.28958333333333,56.0770833333333,-14.0120000839233
60080332,-5.28541666666666,56.0770833333333,-27.2800006866455
60080333,-5.28125,56.0770833333333,-40.0880012512207
60080334,-5.27708333333334,56.0770833333333,-47.0379981994629
60080335,-5.27291666666667,56.0770833333333,-49.3440017700195
60080336,-5.26875000000001,56.0770833333333,-43.5379981994629
60080337,-5.26458333333335,56.0770833333333,-32.7830009460449
60080338,-5.26041666666666,56.0770833333333,-22.4549999237061
60080339,-5.25624999999999,56.0770833333333,-8.67800045013428
60089932,-5.28541666666666,56.08125,-19.7479991912842
60089933,-5.28125,56.08125,-30.1140003204346
